"day","time","davetazLongitude","davetazLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Friday","12",-0.0705,51.633,2011-09-16,"Special Service","Enfield","Edmonton",277,"Southgate","1122333444311",5.58966043072841,0.03
"Friday","15",-0.069,51.631,2011-11-04,"Special Service","Enfield","Edmonton",314,"Edmonton","1122333444311",6.98707553841051,0.03
"Friday","17",-0.0675,51.633,2010-12-31,"Special Service","Enfield","Edmonton",246,"Edmonton","1122333444311",7.68578309225156,0.04
"Friday","22",-0.069,51.632,2013-01-18,"Special Service","Enfield","Edmonton",451,"Edmonton","1122333444311",5.58966043072841,0.03
"Monday","5",-0.069,51.634,2012-08-13,"Special Service","Enfield","Edmonton",429,"Edmonton","1122333444311",2.7948302153642,0.02
"Monday","8",-0.069,51.632,2009-06-29,"Special Service","Enfield","Edmonton",519,"Enfield","1122333444311",6.28836798456946,0.03
"Monday","13",-0.066,51.633,2012-04-16,"Special Service","Enfield","Edmonton",291,"Edmonton","1122333444311",5.58966043072841,0.03
"Monday","15",-0.069,51.633,2009-02-16,"Special Service","Enfield","Edmonton",21,"Enfield","1122333444311",6.98707553841051,0.06
"Monday","16",-0.0675,51.632,2010-03-15,"Fire","Enfield","Edmonton",254,"Edmonton","1122333444311",6.98707553841051,0.03
"Monday","18",-0.069,51.633,2009-03-30,"Special Service","Enfield","Edmonton",423,"Edmonton","1122333444311",7.68578309225156,0.03
"Monday","22",-0.069,51.634,2009-05-04,"False Alarm","Enfield","Edmonton",675,"Edmonton","1122333444311",8.38449064609261,0.03
"Monday","22",-0.069,51.634,2009-08-31,"Fire","Enfield","Edmonton",291,"Edmonton","1122333444311",8.38449064609261,0.04
"Saturday","1",-0.0675,51.633,2010-09-11,"Special Service","Enfield","Edmonton",388,"Edmonton","1122333444311",3.49353776920525,0.02
"Saturday","9",-0.069,51.632,2009-12-26,"Special Service","Enfield","Edmonton",205,"Edmonton","1122333444311",5.58966043072841,0.03
"Saturday","10",-0.066,51.633,2012-02-04,"Special Service","Enfield","Edmonton",273,"Edmonton","1122333444311",7.68578309225156,0.03
"Saturday","14",-0.066,51.632,2012-01-21,"Special Service","Enfield","Edmonton",624,"Enfield","1122333444311",5.58966043072841,0.03
"Saturday","16",-0.069,51.632,2009-10-03,"Special Service","Enfield","Edmonton",205,"Edmonton","1122333444311",6.98707553841051,0.04
"Saturday","17",-0.069,51.632,2011-11-05,"Fire","Enfield","Edmonton",330,"Edmonton","1122333444311",7.68578309225156,0.03
"Saturday","19",-0.069,51.633,2011-02-26,"Special Service","Enfield","Edmonton",825,"Southgate","1122333444311",7.68578309225156,0.03
"Sunday","1",-0.069,51.632,2010-06-13,"Fire","Enfield","Edmonton",279,"Edmonton","1122333444311",3.49353776920525,0.02
"Sunday","7",-0.069,51.632,2012-10-07,"Special Service","Enfield","Edmonton",344,"Edmonton","1122333444311",2.7948302153642,0.02
"Sunday","18",-0.066,51.632,2011-11-06,"Fire","Enfield","Edmonton",239,"Edmonton","1122333444311",6.28836798456946,0.03
"Sunday","20",-0.069,51.632,2011-06-26,"Special Service","Enfield","Edmonton",192,"Edmonton","1122333444311",5.58966043072841,0.03
"Sunday","23",-0.0705,51.631,2011-02-27,"Fire","Enfield","Edmonton",214,"Edmonton","1122333444311",3.49353776920525,0.03
"Thursday","0",-0.0675,51.632,2009-01-01,"Fire","Enfield","Edmonton",308,"Edmonton","1122333444311",2.7948302153642,0.02
"Thursday","11",-0.069,51.633,2012-02-16,"Fire","Enfield","Edmonton",284,"Edmonton","1122333444311",5.58966043072841,0.03
"Thursday","13",-0.0675,51.633,2009-03-19,"Fire","Enfield","Edmonton",508,"Edmonton","1122333444311",6.28836798456946,0.03
"Thursday","14",-0.066,51.632,2011-04-28,"Special Service","Enfield","Edmonton",239,"Edmonton","1122333444311",5.58966043072841,0.03
"Thursday","15",-0.0705,51.633,2011-06-30,"Special Service","Enfield","Edmonton",494,"Edmonton","1122333444311",6.98707553841051,0.03
"Thursday","18",-0.0675,51.633,2012-03-22,"Special Service","Enfield","Edmonton",428,"Edmonton","1122333444311",7.68578309225156,0.03
"Tuesday","15",-0.0705,51.631,2010-11-23,"Fire","Enfield","Edmonton",328,"Enfield","1122333444311",3.49353776920525,0.02
"Tuesday","15",-0.0705,51.632,2011-07-05,"False Alarm","Enfield","Edmonton",214,"Edmonton","1122333444311",3.49353776920525,0.03
"Tuesday","16",-0.0675,51.632,2013-03-19,"Fire","Enfield","Edmonton",226,"Edmonton","1122333444311",5.58966043072841,0.03
"Tuesday","21",-0.066,51.631,2009-06-02,"Fire","Enfield","Edmonton",361,"Edmonton","1122333444311",6.98707553841051,0.03
"Wednesday","13",-0.066,51.633,2009-08-05,"Fire","Enfield","Edmonton",237,"Edmonton","1122333444311",2.09612266152315,0.02
"Friday","13",-0.108,51.646,2011-12-23,"Special Service","Enfield","Southgate",446,"Southgate","1123221222221",14.2808447470076,0.04
"Monday","17",-0.108,51.647,2011-07-25,"Fire","Enfield","Southgate",460,"Edmonton","1123221222221",13.6008045209596,0.04
"Thursday","0",-0.102,51.645,2009-01-01,"Fire","Enfield","Southgate",663,"Southgate","1123221222221",4.08024135628789,0.02
"Thursday","14",-0.108,51.646,2013-03-14,"Special Service","Enfield","Southgate",644,"Edmonton","1123221222221",11.5606838428157,0.04
